date,title,summary,url
2026-07-31,"US officials pressed China on rare earths, farm goods commitments, Bessent says","▶ 9월 정상회담을 앞두고 미국이 중국 측에 희토류 공급 보장과 농산물 구매 등 기존 합의 이행을 촉구함
▶ 중국은 미 기업 대상 희토류 수출 통제를 확대하며 미국의 대중 기술 제재에 강력 반발함
▶ 미국은 중국의 연이은 규제 강화를 지적하며 사태 악화 시 상응하는 후과가 따를 것임을 경고함",https://www.reuters.com/world/asia-pacific/us-officials-discussed-rare-earths-farm-products-with-china-bessent-says-2026-07-30/
2026-07-31,"이 대통령 ""한-칠레 FTA 개선…핵심광물 공급망 협력 더욱 강화""","▶ 한국과 칠레가 양국 FTA 개선을 위한 자유무역위원회를 재가동하고 핵심광물 및 에너지 분야의 '투자협력 양해각서'를 체결함
▶ 리튬·구리 풍부국인 칠레와 첨단기술 강국인 한국이 핵심광물 공급망 전반, 차카오 교량 인프라, 치안·방산 분야 협력을 강화하기로 합의함
▶ 양국은 남극 연구 및 K-컬처 교류를 확대하고, 한반도 평화 정착과 2028년 유엔 해양총회 공동 개최 등 국제무대 공조를 약속함",https://www.korea.kr/news/policyNewsView.do?newsId=148969121&pWise=main&pWiseMain=A1
2026-07-28,Brazil encourages South Korea to jointly invest in the critical minerals sector,"▶ 브라질이 니켈, 희토류 등 자국의 풍부한 매장량을 바탕으로 핵심 광물 공급망 다변화를 추진 중인 한국 기업들에게 공동 투자 및 협력 강화를 제안함
▶ 양국 정상회담을 통해 광물 채굴·정제부터 연구개발(R&D)까지 가치사슬 전반에 걸친 공조와 더불어 한-메르코수르(Mercosur) 무역협정 추진을 논의함",https://www.reutersconnect.com/item/brazil-encourages-south-korea-to-jointly-invest-in-the-critical-minerals-sector/dGFnOnJldXRlcnMuY29tLDIwMjY6bmV3c21sX09XRUZWQzU1MDIxMDE2NTUxMDAx
2026-07-27,Australia and Japan can help build the G7’s critical-minerals future,"▶ 호주-일본 간 핵심 광물 분야 협력 강화를 통해 G7의 특정국(중국) 의존도 축소 목표(2030년까지 단일 공급국 비중 60% 이하) 달성에 기여할 수 있다고 발언함
▶ 중국의 수출 통제 사례를 지적하며 단순 시장 논리를 넘어 '지방정치적·전략적 집중도'를 종합 측정·관리하는 '전략적 다변화 프레임워크' 도입을 제시함
▶ 비상용 비축고 공조와 더불어, 필요시 합리적으로 설계된 '관세율 할당제(TRQ)' 등 정부 차원의 적극적 정책 개입을 통해 신뢰할 수 있는 다자간 공급망을 구축해야 함을 강조함",https://www.aspistrategist.org.au/australia-and-japan-can-help-build-the-g7s-critical-minerals-future/
2026-07-27,Insight: Trump may need to allow Chinese minerals as US industry struggles to meet 2027 deadline,"▶ 트럼프 행정부의 2027년 1월 중국산 핵심 광물 수입 금지 시한이 다가오나, 미국 내 채굴 및 제련 인프라 부족으로 이행이 난항을 겪고 있음
▶ 기술적 복잡성과 중국의 시장 가격 인하 공세로 국내 공급량이 수요를 충족하지 못해, 국방부 및 방산업체 대상 예외 적용 연장이 불가피한 상황임
▶ 미 정부가 120억 달러 규모 비축 사업(Project Vault)과 자금 지원을 추진 중이나, 완전한 공급망 자립에는 향후 수년이 더 걸릴 것으로 전망됨",https://www.reuters.com/legal/government/trump-may-need-allow-chinese-minerals-us-industry-struggles-meet-2027-deadline-2026-07-27/
2026-07-22,Can the US and its allies break China’s grip on rare earths and AI technology?,"▶ 제이콥 헬버그 미 국무부 경제차관은 중국의 핵심 광물 통제에 대응해 24개국 연합체인 '팩스 실리카(Pax Silica)'를 중심으로 광물, 정련, 반도체, 물류를 아우르는 전체 공급망 차원의 대중 의존도 탈피 전략을 추진 중이라고 밝힘
▶ 미 국방부 무기 체계 부품의 78%(해군은 92%)가 중국산 광물에 의존하는 만큼, 트럼프 대통령의 행정명령을 통해 방산업체의 중국산 자재 배제를 강제하는 등 자국 및 우방국 중심의 국방·AI 공급망 재편을 서두르고 있음",https://www.scmp.com/news/china/diplomacy/article/3361372/can-us-and-its-allies-break-chinas-grip-rare-earths-and-ai-technology
2026-07-21,Trump order targets China-linked military mineral supply chains,"▶ 도널드 트럼프 미 대통령은 국방 부문의 중국산 핵심 광물 의존도를 낮추기 위해 미 방산업체들이 2027년 1월부터 중국 연계 공급망에서 벗어나도록 강제하는 행정명령에 서명함
▶ 미 국방부 무기 체계 부품의 78%(해군은 92%)가 중국산 핵심 광물에 의존하는 상황에서, 방산계약업체들은 원자재부터 최종 제품까지 전체 공급망을 추적하고 중국산 배제 이행 계획을 제출해야 함
▶ 최근 중국이 미 희토류 기업들을 수출 통제 목록에 올리는 등 양국의 보복성 규제가 재발한 가운데, 미 백악관은 이를 중국의 '식량 고사' 전략으로 비판한 반면 중국 측은 냉전적 사고방식이라며 강력히 반발함",https://www.scmp.com/news/us/politics/article/3361267/trump-order-targets-china-linked-military-mineral-supply-chains
2026-07-21,"As US works to end reliance on China for critical minerals, mining companies see opportunity","▶ 미 정부는 핵심 광물 대중 의존도를 안보 위협으로 보고 방산업체의 중국산 자재 배제를 강제하는 행정명령을 발령함
▶ 이를 위해 고려아연, MP 머티리얼즈 등 주요 광업·정련 기업 지분을 직접 매입하는 등 100억 달러 규모의 연방 자금을 투입함
▶ 중국의 수출 통제와 미국의 대규모 자금 지원이 맞물리면서 자국 내 광물 생산·정련 기업들은 큰 시장 기회를 맞이함",https://smallwarsjournal.com/2026/07/21/critical-minerals-us-mining-opportunity/
2026-07-18,"Quebec ‘doubles down’ on Europe in bid to de-risk from US, China","▶ 크리스토퍼 스키트 캐나다 퀘벡주 국제관계부 장관은 미국의 관세 폭탄과 중국의 핵심 광물 수출 통제에 대응하여 유럽과의 경제적 유대를 강화하고 공급망 회복력을 높이는 데 집중하고 있다고 밝힘
▶ 퀘벡주는 수출의 70% 이상을 미국에 의존해 왔으나, 트럼프 행정부의 관세 부과로 알루미늄 산업 등이 타격을 입자 단일 시장 리스크를 줄이기 위해 가치를 공유하는 유럽으로 눈을 돌리고 있음
▶ 리튬과 흑연 등 핵심 광물이 풍부한 퀘벡주는 유럽이 아시아 의존도를 낮추고 자원 주권을 확보할 수 있도록 채굴 및 제련 능력을 키우고 있으며, EU의 방위 기금 프로그램을 통해 방산 분야의 경제 통합도 추진 중임",https://www.euractiv.com/news/quebec-doubles-down-on-europe-in-bid-to-de-risk-from-us-china/
2026-07-18,IEA sees $6.5 trillion at risk if China imposes rare earth curbs,"▶ 국제에너지기구(IEA)는 중국이 희토류 수출 제한을 전면 시행할 경우, 전 세계적으로 매년 6조 5,000억 달러 규모의 제조업 생산이 차질을 빚을 수 있다고 경고함
▶ 파티 비롤 IEA 사무총장은 공급망 집중으로 인한 경제적 리스크를 지적하며, 공급망 다변화에 드는 추가 비용은 지정학적 불확실성 시대의 '광물 안보 보험료'와 같다고 강조함
▶ 미국 등의 투자로 중국의 희토류 점유율이 90%에서 85%로 다소 낮아졌으나 정련 분야의 집중도는 여전히 높으며, IEA는 리스크가 큰 11개 핵심 자원의 다자간 공동 비축을 대안으로 제시함",https://www.mining.com/web/iea-sees-6-5-trillion-at-risk-if-china-imposes-rare-earth-curbs/
2026-07-14,Abidjan puts around 63 billion USD on the table for critical minerals,"▶ 코트디부아르 정부는 지난 10일 아비장(Abidjan)에서 열린 핵심광물 장관급 포럼에서 2026~2040년 동안 총 38조 세파프랑(약 630억 달러)을 투자하는 '광물자원·에너지 통합 정책(PIRME)' 로드맵을 발표했음
▶ 마마두 상가포와 쿨리발리 광물·석유·에너지부 장관은 코트디부아르 영토의 75%가 핵심 광물 잠재 지역이라고 강조하며, 단순히 원자재를 수출하는 기존 모델에서 벗어나 아프리카 대륙 차원의 상호 연결된 가치사슬을 구축해 현지 부가가치를 높여야 한다고 주장했음
▶ 아프리카개발은행(AfDB)이 주최한 이번 포럼에는 아프리카 30여 개국 장관과 주요 투자자들이 참석해 글로벌 에너지 전환에 필수적인 핵심 광물을 아프리카 현지 산업화와 지속 가능한 번영의 지렛대로 전환하기 위한 협력 방안을 논의했음",https://www.financialafrik.com/en/2026/07/14/abidjan-puts-around-63-billion-usd-on-the-table-for-critical-minerals/
2026-07-13,Trump Looks to Australian Superannuation For Inspiration,"▶ 트럼프 미국 대통령이 자국의 부실한 연금 체계를 개혁하기 위해 호주의 퇴직연금(Superannuation) 시스템을 벤치마킹하라고 재무장관과 상무장관에게 지시했음
▶ 세계 최대 광산업체인 BHP 그룹은 핵심 구리 사업에 자본을 집중하기 위해 칠레의 해수 담수화 플랜트와 전력 송전 자산 매각을 검토하고 있음
▶ 미국 중부사령부는 호르무즈 해협을 통과하는 민간 선박에 대한 공격 능력을 약화시키기 위해 이란에 추가 공습을 감행했으며, 이에 따라 국제 유가가 급등했음",https://www.bloomberg.com/news/newsletters/2026-07-12/trump-looks-to-australian-superannuation-anz-group-veteran-tonkin-to-retire
2026-07-09,Chinese companies use rare earths ban to squeeze out foreign rivals,"▶ 중국의 희토류(이트륨 등) 수출 통제로 일본 경쟁사들이 타격을 입은 사이, 중국 제조업체들이 고부가가치 소재 시장을 장악하는 기회를 맞이함
▶ 일본 총리의 대만 관련 발언 이후 대일 수출이 제한되자, 일본산 고품질 소재를 쓰던 기업들이 중국 국산 제품으로 빠르게 전환하며 기술 격차를 좁히고 있음",https://www.ft.com/content/541e9027-1e3b-49d8-bfdb-4b54fba1a97e?syn-25a6b1a6=1
